date,ph,ec,tds,pss,c
02/18/2016 03:37:22,8.0782,55177.09375,29795.62695,36.57,25.125
02/18/2016 03:42:23,8.0811,55416.43359,29924.87109,36.75,25.15
02/18/2016 03:47:30,8.0827,55345.99609,29886.83594,36.696,25.1375
02/18/2016 04:13:57,8.0754,55385.53125,29908.1875,36.727,25.1875
02/18/2016 04:23:59,8.0722,55445.34766,29940.48438,36.77,25.1875
02/18/2016 04:29:00,8.0722,55484.64844,29961.70898,36.801,25.1875
02/18/2016 04:39:02,8.0668,55366.10156,29897.69336,36.714,25.1875
02/18/2016 04:44:03,8.0615,55423.87891,29928.89453,36.755,25.1875
02/18/2016 04:49:04,8.0611,55420.00781,29926.80273,36.752,25.1875
02/18/2016 04:54:05,8.0563,55435.03125,29934.91406,36.763,25.1875
02/18/2016 04:59:06,8.054,55328.56641,29877.42773,36.683,25.1875
02/18/2016 05:04:07,8.0516,55415.5625,29924.40234,36.748,25.1875
02/18/2016 05:29:19,8.0385,55511.64063,29976.28711,36.82,25.19375
02/18/2016 05:44:22,8.0284,55368.95703,29899.23633,36.713,25.1875
02/18/2016 05:49:23,8.0231,55370.43359,29900.0332,36.717,25.1875
02/18/2016 05:54:24,8.0168,55385.55469,29908.19922,36.729,25.19375
02/18/2016 06:24:30,7.9915,55441.70313,29938.51953,36.769,25.1875
02/18/2016 06:39:33,7.9821,55324.62891,29875.29883,36.682,25.15625
02/18/2016 06:44:34,7.9792,55348.74219,29888.31836,36.698,25.13125
02/18/2016 06:49:35,7.9743,55383.49219,29907.08398,36.724,25.13125
02/18/2016 06:54:36,7.971,55293.21875,29858.33594,36.656,25.125
02/18/2016 06:59:37,7.9688,55290.41016,29856.81836,36.653,25.125
02/18/2016 07:04:38,7.9648,55263.25,29842.1543,36.634,25.125
02/18/2016 07:14:40,7.9603,55246.42578,29833.06836,36.621,25.125
02/18/2016 07:29:43,7.9532,55353.71094,29891.00391,36.701,25.1
02/18/2016 07:34:44,7.9503,55380.31641,29905.36914,36.721,25.08125
02/18/2016 07:39:45,7.9474,55435.99609,29935.4375,36.762,25.06875
02/18/2016 07:59:49,7.9409,55341.30078,29884.30078,36.691,25.0625
02/18/2016 08:14:52,7.9331,55340.50781,29883.87109,36.692,25.05
02/18/2016 08:29:55,7.9282,55237.16406,29828.06836,36.615,25
02/18/2016 08:34:57,7.9246,55237.87891,29828.45313,36.613,25
02/18/2016 08:39:58,7.9251,55234.40234,29826.57617,36.61,25
02/18/2016 08:55:33,7.9169,55243.66406,29831.57617,36.617,24.9875
02/18/2016 09:05:35,7.9165,55263.58203,29842.33203,36.632,24.975
02/18/2016 09:20:38,7.9116,55287.10156,29855.03516,36.649,24.9375
02/18/2016 09:25:39,7.9085,55314.125,29869.98633,36.67,24.9375
02/18/2016 09:45:43,7.9038,55262.03906,29841.50195,36.63,24.925
02/18/2016 10:00:46,7.9006,55262.59375,29841.80078,36.63,24.875
02/18/2016 10:10:49,7.8965,55269.19922,29845.36523,36.635,24.875
02/18/2016 10:35:54,7.8906,55292.94531,29858.18945,36.654,24.8375
02/18/2016 10:40:55,7.8882,55312.34766,29868.66602,36.666,24.8125
02/18/2016 10:54:45,7.8853,55273.85156,29847.87891,36.637,24.8125
02/18/2016 10:59:46,7.8845,55266.47266,29843.89453,36.634,24.8125
02/18/2016 11:04:47,7.8837,55228.75391,29823.52539,36.602,24.78125
02/18/2016 11:09:48,7.8821,55313.48438,29869.28125,36.666,24.75625
02/18/2016 11:14:49,7.8818,55323.73438,29874.81641,36.674,24.75625
02/18/2016 11:19:50,7.8783,55278.57031,29850.42773,36.641,24.75
02/18/2016 11:24:51,7.8807,55292.05469,29857.70703,36.65,24.75
02/18/2016 11:29:52,7.8769,55285.94531,29854.4082,36.646,24.75
02/18/2016 11:34:53,7.877,55277.28906,29849.73633,36.64,24.74375
02/18/2016 11:39:54,7.8742,55244.17188,29831.85156,36.615,24.74375
02/18/2016 11:44:55,7.8738,55286.48828,29854.70117,36.646,24.71875
02/18/2016 11:49:56,7.8714,55305.72656,29865.0918,36.66,24.70625
02/18/2016 11:54:57,7.8711,55274.875,29848.43164,36.637,24.69375
02/18/2016 11:59:58,7.8708,55282.89453,29852.76563,36.641,24.6875
02/18/2016 12:05:00,7.8701,55284.11719,29853.42383,36.642,24.6875
02/18/2016 12:10:00,7.8706,55285.80469,29854.33203,36.643,24.6875
02/18/2016 12:20:02,7.8679,55296.30469,29860.00195,36.652,24.6625
02/18/2016 12:25:03,7.8678,55260.19922,29840.50781,36.624,24.6625
02/18/2016 12:30:04,7.8662,55300.18359,29862.09766,36.655,24.63125
02/18/2016 12:35:05,7.864,55309.71094,29867.24219,36.661,24.625
02/18/2016 12:40:06,7.8623,55300.28906,29862.1543,36.656,24.625
02/18/2016 12:45:08,7.8637,55295.39844,29859.51367,36.652,24.625
02/18/2016 12:50:09,7.8622,55251.33984,29835.7207,36.617,24.625
02/18/2016 12:55:10,7.8623,55327.73438,29876.97461,36.674,24.61875
02/18/2016 13:00:11,7.8596,55335.30469,29881.06445,36.681,24.56875
02/18/2016 13:05:12,7.8597,55346.96484,29887.36133,36.689,24.5625
02/18/2016 13:10:13,7.8588,55307.49609,29866.04688,36.659,24.5625
02/18/2016 13:15:14,7.8579,55308.72656,29866.71094,36.66,24.5625
02/18/2016 13:20:15,7.8574,55349.5,29888.72852,36.691,24.5625
02/18/2016 13:25:16,7.8567,55380.83984,29905.65234,36.716,24.5625
02/18/2016 13:30:17,7.8544,55368.91016,29899.21094,36.705,24.55
02/18/2016 13:35:34,7.8552,55287.12891,29855.04883,36.643,24.5375
02/18/2016 13:40:19,7.8539,55340.77734,29884.01953,36.684,24.50625
02/18/2016 13:45:20,7.855,55319.78906,29872.68555,36.666,24.5
02/18/2016 13:50:21,7.8511,55347.72656,29887.77148,36.688,24.5
02/18/2016 13:55:22,7.8498,55365.84766,29897.55664,36.7,24.5
02/18/2016 14:00:23,7.8516,55281.67188,29852.10156,36.64,24.5
02/18/2016 14:05:24,7.8512,55398.75781,29915.32813,36.728,24.4875
02/18/2016 14:10:25,7.8498,55335.23828,29881.02734,36.678,24.475
02/18/2016 14:15:26,7.8499,55356.14453,29892.31836,36.692,24.44375
02/18/2016 14:20:27,7.8468,55363.12891,29896.08984,36.699,24.4375
02/18/2016 14:25:28,7.8481,55370.24219,29899.92969,36.704,24.4375
02/18/2016 14:30:29,7.8457,55335.28125,29881.05078,36.678,24.4375
02/18/2016 14:35:30,7.8469,55329.35156,29877.84961,36.674,24.4375
02/18/2016 14:40:35,7.8445,55344.57031,29886.06641,36.685,24.4375
02/18/2016 14:45:47,7.8446,55326.49219,29876.30469,36.67,24.41875
02/18/2016 14:50:33,7.8437,55371.85156,29900.80078,36.705,24.4
02/18/2016 14:55:34,7.8431,55377.42578,29903.80859,36.708,24.38125
02/18/2016 15:00:35,7.8426,55345.23438,29886.42578,36.685,24.375
02/18/2016 15:05:36,7.8414,55354.85156,29891.61914,36.691,24.375
02/18/2016 15:10:37,7.8385,55379.49219,29904.92383,36.711,24.375
02/18/2016 15:15:38,7.8378,55405.53516,29918.98828,36.728,24.375
02/18/2016 15:20:39,7.8338,55385.80859,29908.33594,36.715,24.40625
02/18/2016 15:25:40,7.8331,55419.92969,29926.76172,36.74,24.4125
02/18/2016 15:30:41,7.8306,55352.64453,29890.42773,36.691,24.4375
02/18/2016 15:35:42,7.8319,55462.45313,29949.72266,36.771,24.44375
02/18/2016 15:40:43,7.8326,55126.99219,29768.57227,36.522,24.4375
02/18/2016 15:45:44,7.8322,55153.01172,29782.62695,36.542,24.44375
02/18/2016 15:50:45,7.8282,55137.46875,29774.23242,36.53,24.475
02/18/2016 15:55:46,7.8304,55112.66016,29760.83594,36.513,24.5
02/18/2016 16:00:47,7.8268,55136.34375,29773.62695,36.529,24.5
02/18/2016 16:05:48,7.8275,55104.38672,29756.36719,36.506,24.53125
02/18/2016 16:10:49,7.8281,55112.73047,29760.875,36.513,24.5625
02/18/2016 16:15:50,7.83,55115.73828,29762.49609,36.516,24.56875
02/18/2016 16:20:51,7.8318,55060.05078,29732.42578,36.475,24.6125
02/18/2016 16:25:52,7.8331,55106.46484,29757.48828,36.51,24.61875
02/18/2016 16:30:53,7.8357,55151.98047,29782.06836,36.542,24.625
02/18/2016 16:35:54,7.836,55109.67188,29759.21875,36.512,24.65
02/18/2016 16:40:55,7.8396,55075.24609,29740.63281,36.488,24.6875
02/18/2016 16:45:56,7.8395,55100.71094,29754.38086,36.508,24.6875
02/18/2016 16:50:57,7.8419,55113.74219,29761.41992,36.515,24.71875
02/18/2016 16:55:58,7.8429,55074.97656,29740.48633,36.488,24.75
02/18/2016 17:00:59,7.8458,55141.89844,29776.62305,36.539,24.75
02/18/2016 17:06:00,7.8478,55108.47656,29758.57422,36.513,24.75
02/18/2016 17:11:01,7.8487,55096.46875,29752.09375,36.505,24.8125
02/18/2016 17:16:02,7.8518,55136.12109,29773.50391,36.535,24.8125
02/18/2016 17:21:03,7.855,55093.12109,29750.2832,36.503,24.83125
02/18/2016 17:26:05,7.8566,55089.54688,29748.35547,36.501,24.875
02/18/2016 17:31:06,7.8621,55099.44922,29753.70117,36.509,24.875
02/18/2016 17:36:07,7.8637,55056.67969,29730.60547,36.476,24.875
02/18/2016 17:51:10,7.8732,55042.69141,29723.05078,36.464,24.875
02/18/2016 17:56:11,7.8743,55025.39063,29713.70898,36.455,24.875
02/18/2016 18:01:12,7.8776,55033.98438,29718.34961,36.461,24.875
02/18/2016 18:06:13,7.8808,55041.74609,29722.53906,36.465,24.875
02/18/2016 18:16:15,7.8865,55049.15625,29726.54492,36.471,24.875
02/18/2016 18:21:16,7.8903,55028.82422,29715.56445,36.455,24.875
02/18/2016 18:26:17,7.8913,55041.17188,29722.23047,36.464,24.875
02/18/2016 18:31:18,7.8943,55112.35547,29760.66992,36.52,24.875
02/18/2016 18:36:19,7.8971,55068.19531,29736.82617,36.485,24.875
02/18/2016 18:41:20,7.9016,55118.33594,29763.89844,36.522,24.875
02/18/2016 18:51:22,7.9061,55152.74219,29782.47852,36.548,24.875
02/18/2016 18:56:23,7.9069,55073.89063,29739.89844,36.489,24.875
02/18/2016 19:01:24,7.9129,55069.69141,29737.63281,36.487,24.875
02/18/2016 19:06:25,7.915,55111.53906,29760.23047,36.517,24.875
02/18/2016 19:11:26,7.919,55065.30859,29735.26758,36.482,24.875
02/18/2016 19:16:27,7.9209,55083.96484,29745.3418,36.497,24.875
02/18/2016 19:21:28,7.923,55079.84766,29743.11523,36.496,24.875
02/18/2016 19:26:29,7.9267,55126.85156,29768.49805,36.529,24.875
02/18/2016 19:31:30,7.9278,55145.6875,29778.66992,36.542,24.875
02/18/2016 19:36:31,7.9313,55128.40234,29769.33594,36.53,24.875
02/18/2016 19:41:32,7.9344,55096.67969,29752.20703,36.505,24.875
02/18/2016 19:46:33,7.9358,55143.17188,29777.3125,36.542,24.88125
02/18/2016 19:51:34,7.9404,55168.72656,29791.11328,36.559,24.875
02/18/2016 20:01:36,7.9451,55192.07813,29803.71875,36.578,24.875
02/18/2016 20:06:37,8.0198,55204.96875,29810.68164,36.587,24.89375
02/18/2016 20:11:38,8.0841,55175.58984,29794.81836,36.565,24.88125
02/18/2016 20:16:39,8.0909,55148.6875,29780.28906,36.546,24.90625
02/18/2016 20:21:40,8.0902,55184.32422,29799.53516,36.571,24.9
02/18/2016 20:26:41,8.0921,55084.94531,29745.87109,36.498,24.925
02/18/2016 20:31:49,8.0948,55154.16406,29783.24805,36.549,24.8875
02/18/2016 20:36:43,8.0956,55115.60156,29762.42578,36.521,24.88125
02/18/2016 20:41:44,8.0961,55148.05469,29779.94727,36.547,24.89375
02/18/2016 20:46:45,8.0973,55141.37891,29776.34375,36.538,24.9
02/18/2016 20:51:46,8.098,55100.90625,29754.48633,36.509,24.925
02/18/2016 20:56:47,8.0999,55100.84766,29754.45508,36.51,24.9125
02/18/2016 21:01:48,8.0997,55146.53516,29779.12891,36.545,24.9
02/18/2016 21:06:49,8.1007,55098.42188,29753.14648,36.51,24.9125
02/18/2016 21:11:50,8.1017,55121.5,29765.60742,36.525,24.89375
02/18/2016 21:16:51,8.1006,55099.08203,29753.50391,36.508,24.9
02/18/2016 21:21:52,8.1031,55141.94922,29776.65234,36.54,24.9
02/18/2016 21:26:53,8.1018,55089.51563,29748.33984,36.502,24.91875
02/18/2016 21:31:54,8.1038,55139.25391,29775.19531,36.539,24.90625
02/18/2016 21:36:55,8.1026,55119.31641,29764.42773,36.523,24.91875
02/18/2016 21:41:56,8.1026,55113.49219,29761.28516,36.519,24.9125
02/18/2016 21:46:57,8.1058,55138.98828,29775.05273,36.537,24.91875
02/18/2016 21:51:58,8.1058,55094.50391,29751.03125,36.504,24.925
02/18/2016 21:56:59,8.1057,55156.69922,29784.61523,36.551,24.9125
